0_x,0_y,0_x,0_y
2789.6445917410,1712.,2789.6446875853,8377.
2789.6775745672,1720.,2789.6777474207,8391.
2789.7115613741,1728.,2789.7117425722,8400.
2789.7446181101,1736.,2789.7447263521,8404.
2789.7776259703,1744.,2789.7795991224,8413.
2789.8105701727,1752.,2789.8106855673,8425.
2789.8435715956,1760.,2789.8437098784,8432.
2789.8765856547,1768.,2789.8767036718,8440.
2789.9108845514,1776.,2789.9110874457,8450.
2789.9426140112,1784.,2789.9427618307,8460.
2789.9756237787,1792.,2789.9757689757,8467.
2790.0096508783,1800.,2790.0097150129,8473.
2790.0425957960,1808.,2790.0427767557,8484.
2790.0756065172,1816.,2790.0757314486,8497.
2790.1088542265,1824.,2790.1088742537,8506.
2790.1450447363,1832.,2790.1451668066,8511.
2790.1755806727,1840.,2790.1756986899,8524.
2790.2086643499,1848.,2790.2087935728,8528.
2790.2426361364,1856.,2790.2427825255,8531.
2790.2755464834,1864.,2790.2757324499,8533.
2790.3096155447,1872.,2790.3097674173,8543.
2790.3425576014,1880.,2790.3427378458,8550.
2790.378997497,1888.,2790.3792075438,8556.
2790.4096123499,1896.,2790.4097728056,8562.
2790.4426218790,1904.,2790.4427656454,8567.
2790.4766439718,1912.,2790.4767901224,8576.
2790.5095841211,1920.,2790.5098211092,8584.
2790.5425807757,1928.,2790.5427276415,8588.
2790.5756320280,1936.,2790.5757760328,8598.
2790.6086789889,1944.,2790.6087304873,8606.
2790.6415921969,1952.,2790.6417121214,8611.
2790.6746036333,1960.,2790.6747388167,8618.
2790.7079347891,1968.,2790.7079562468,8626.
2790.7430159372,1976.,2790.7431687636,8639.
2790.7735702318,1984.,2790.7737182898,8647.
2790.8065993113,1992.,2790.8067333025,8652.
2790.8406104368,2000.,2790.8407549185,8664.
2790.8736395163,2008.,2790.8737885279,8673.
2790.9076194090,2016.,2790.9077073855,8682.
2790.9406198782,2024.,2790.9406954569,8687.
2790.977012567,2032.,2790.9771453661,8698.
2791.0075718683,2040.,2791.0077430529,8711.
2791.0406157297,2048.,2791.0407387537,8715.
2791.0746096892,2056.,2791.0747501177,8721.
2791.1076113505,2064.,2791.1077527327,8727.
2791.1406046671,2072.,2791.1407536787,8733.
2791.1736072821,2080.,2791.1737551016,8742.
2791.2066005987,2088.,2791.2067210001,8745.
2791.2396287245,2096.,2791.2397729677,8754.
2791.2725953383,2104.,2791.272745542,8757.
2791.3056086821,2112.,2791.3057247919,8768.
2791.3410307688,2120.,2791.3411785883,8772.
2791.3715714735,2128.,2791.3716894907,8779.
2791.4047135634,2136.,2791.4047533793,8796.
2791.4396552366,2144.,2791.4397317690,8809.
2791.4725875181,2152.,2791.4727365297,8812.
2791.5066949648,2160.,2791.5067459864,8821.
2791.5396503729,2168.,2791.5397836489,8828.
2791.5751494688,2176.,2791.5752875132,8838.
2791.6066571993,2184.,2791.6067263407,8844.
2791.6396440786,2192.,2791.6397187037,8855.
2791.6736478132,2200.,2791.6737858576,8867.
2791.7066375536,2208.,2791.7067894262,8880.
2791.7406932634,2216.,2791.7408215326,8892.
2791.7736391348,2224.,2791.7737921995,8899.
2791.8091055674,2232.,2791.8092564863,8911.
2791.8406287951,2240.,2791.8407747072,8918.
2791.8736707491,2248.,2791.8738123697,8924.
2791.9076098723,2256.,2791.9077514929,8927.
2791.9406430048,2264.,2791.9407929701,8934.
2791.9746367258,2272.,2791.9747115893,8945.
2792.0076309961,2280.,2792.0077730936,8949.
2792.0430881304,2288.,2792.0432731432,8954.
2792.0746213717,2296.,2792.0747725290,8963.
2792.1076568884,2304.,2792.1076950354,8974.
2792.1416494173,2312.,2792.1417907995,8979.
2792.1745683474,2320.,2792.1746925635,8986.
2792.2086431307,2328.,2792.2086991591,8999.
2792.2416791243,2336.,2792.2417532725,9006.
2792.2768868727,2344.,2792.2770380301,9010.
2792.3076013846,2352.,2792.3077475351,9019.
2792.3405787272,2360.,2792.3407599253,9033.
2792.3746222777,2368.,2792.3747576994,9037.
2792.4076117796,2376.,2792.4077667517,9044.
2792.4415659231,2384.,2792.4416908545,9052.
2792.4746517462,2392.,2792.4747270865,9065.
2792.5110132021,2400.,2792.5111281199,9073.
2792.5415858549,2408.,2792.5417479796,9081.
2792.5746125502,2416.,2792.5747365278,9089.
2792.6088506502,2424.,2792.6088713926,9102.
2792.6416029257,2432.,2792.6417450232,9111.
2792.6756121439,2440.,2792.6757351679,9114.
2792.7086500448,2448.,2792.7087029738,9120.
2792.7416817469,2456.,2792.7437240404,9125.
2792.7745613379,2464.,2792.7746731562,9135.
2792.8076288027,2472.,2792.8077456278,9138.
2792.8406028074,2480.,2792.8407527727,9147.
2792.8749467653,2488.,2792.8750716967,9155.
2792.9065713209,2496.,2792.9066924376,9163.
2792.9396354479,2504.,2792.9397784990,9170.
2792.9726039690,2512.,2792.9727374834,9179.
2793.0056225580,2520.,2793.0057434363,9187.
2793.0395602507,2528.,2793.0396911425,9196.
2793.0725673956,2536.,2793.0726851744,9198.
2793.1090163511,2544.,2793.1092263979,9209.
2793.1395749373,2552.,2793.1397158426,9218.
2793.1725630087,2560.,2793.1726640982,9229.
