0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
0.5869298381,2028.,0.5870922012,1981.,0.5872261924,1952.,0.5873613758,5390.
0.5918960971,2036.,0.5920300884,2003.,0.5921643180,1932.,0.5923161907,6398.
0.5967662734,2012.,0.5969293518,2024.,0.5970442695,1927.,0.597227375,7308.
0.6018362445,1993.,0.6019723815,2041.,0.6021132869,1934.,0.6022491855,8204.
0.6068740291,1979.,0.6069970531,2052.,0.6071334285,1939.,0.6073615951,9114.
0.6118963165,1958.,0.6120522422,2044.,0.6121893329,1967.,0.6124015254,10094.
0.6169646186,1954.,0.6170795364,2032.,0.6172116203,1988.,0.6173475189,11046.
0.6219165725,1955.,0.6220925254,2016.,0.6222756309,2005.,0.6224124832,11956.
0.6271329326,1961.,0.6272452278,1996.,0.6273982925,2012.,0.6275732917,13048.
0.6321249408,1956.,0.6322973175,1979.,0.6324313087,2021.,0.6325233383,14196.
0.6371803684,1976.,0.6373582286,1966.,0.6375403804,2026.,0.6376831932,15260.
0.6418722076,1983.,0.6420593662,1955.,0.6421952648,2030.,0.6424012584,16268.
0.6467702789,1997.,0.6468732757,1930.,0.6470082206,2029.,0.6471913261,836.
0.6517692012,2020.,0.6518972320,1934.,0.6520421905,2009.,0.6522243423,1858.
0.6567624015,2033.,0.6568713588,1949.,0.6570523185,1990.,0.6571872634,2810.
0.661806385,2038.,0.6619143886,1963.,0.6620493335,1966.,0.6621861858,3860.
0.666913311,2028.,0.6670923633,1977.,0.6672273082,1954.,0.6673612995,4924.
0.6718988819,2018.,0.6719913883,1990.,0.6721692485,1951.,0.6723483009,5988.
0.6767483158,2013.,0.6768591804,2002.,0.6770832939,1954.,0.6772222919,7122.
0.6819224758,1991.,0.6820974750,2020.,0.6822314662,1954.,0.6823645038,8214.
0.6868961257,1977.,0.6870279712,2037.,0.6871641082,1948.,0.6873042983,9236.
0.6919112606,1959.,0.6920903129,2040.,0.6922252578,1974.,0.6923613948,10244.
0.6968839569,1947.,0.6970642013,2038.,0.6972413463,1988.,0.6973753375,11154.
0.7019999427,1935.,0.7021332187,2026.,0.7023253841,2019.,0.7024643821,12078.
0.7071292800,1950.,0.7072604103,1998.,0.7074382705,2028.,0.7075763149,13058.
0.7121801776,1956.,0.7122822208,1979.,0.7124112052,2032.,0.7125473422,14038.
0.7171521587,1969.,0.7173993988,1964.,0.7175362510,2029.,0.7176912231,15074.
0.7219798965,1984.,0.7221520347,1959.,0.7222950859,2020.,0.7225139541,16096.
0.7266800804,1997.,0.7268522186,1946.,0.7269862098,2024.,0.7271483345,804.
0.7317684097,2023.,0.7318795127,1943.,0.7320614261,1997.,0.7321975631,1826.
0.7367427749,2037.,0.7369110984,1948.,0.7370891971,1987.,0.7372732563,2848.
0.7417846126,2055.,0.7419107360,1946.,0.7420461578,1958.,0.7422740859,3800.
0.7468669815,2040.,0.7469990653,1973.,0.7471771640,1952.,0.7472720546,4766.
0.7518909378,2029.,0.7519820137,1994.,0.7522559566,1941.,0.7524340553,5760.
0.7568390769,2017.,0.7569580478,2015.,0.7571762008,1946.,0.7573113841,6810.
0.7617953224,2001.,0.7619052333,2017.,0.7620423240,1953.,0.7622602386,7818.
0.7669363422,1983.,0.7671833438,2014.,0.7673602504,1960.,0.7674942417,8952.
0.7719321651,1972.,0.7721109790,2019.,0.7722452087,1982.,0.7723813457,10058.
