0_x,0_y,0_x,0_y
0.4130700984,57.,0.4149631419,0.
0.4151331344,48.,0.4169551292,-5.
0.4170900741,49.,0.4189299503,-44.
0.4190629878,63.,0.4209300437,-94.
0.4210621276,75.,0.4229670921,-104.
0.4231001296,64.,0.4249681392,-89.
0.4250999847,36.,0.4269279399,-73.
0.4270631233,30.,0.4290017047,-43.
0.4291380802,21.,0.4309560218,-10.
0.4310919204,19.,0.4329611221,13.
0.4330910602,17.,0.434923307,28.
0.4350651660,10.,0.4369541564,35.
0.4371322551,9.,0.4389668861,43.
0.439101831,13.,0.4409679332,59.
0.4411009708,19.,0.4429229656,54.
0.4430650630,30.,0.4449950614,46.
0.4451810279,36.,0.4469920554,57.
0.4471291461,28.,0.4491166034,41.
0.4491208949,40.,0.4510198989,26.
0.4510687747,55.,0.4530579009,-2.
0.4531887927,67.,0.4550198474,-37.
0.4551547923,65.,0.4570278087,-63.
0.4571637073,59.,0.4589396873,-64.
0.4590777316,43.,0.46096553,-43.
0.4611445823,28.,0.4629656234,0.
0.4631015220,17.,0.4649807372,22.
0.4651147285,12.,0.4669398227,36.
0.4671288886,15.,0.4689706722,30.
0.4691478172,18.,0.4709798255,33.
0.4711080947,25.,0.4729856410,42.
0.4730848232,26.,0.4749297061,39.
0.4750708499,42.,0.4769598403,13.
0.4771377006,58.,0.4789711395,-1.
0.4791039386,48.,0.4809299865,-1.
0.4811071315,41.,0.4829319873,8.
0.4830650249,32.,0.484954969,-7.
0.4851330676,46.,0.4869679370,-49.
0.4871009746,63.,0.4889272609,-99.
0.4890681663,70.,0.4909287849,-105.
0.4910618224,55.,0.4929648795,-92.
0.4931007781,35.,0.4949709335,-56.
0.4950810829,20.,0.4969400325,-30.
0.4970730701,13.,0.4989308276,-9.
0.4990626731,16.,0.5009550014,18.
0.5010899463,10.,0.5029541412,32.
0.5030900398,-1.,0.5049311080,32.
0.5050641456,5.,0.5069540897,52.
0.5071319499,2.,0.5089708724,61.
0.5091027179,12.,0.5109690585,61.
0.5111042419,23.,0.5129312435,62.
0.5130702415,23.,0.5149742523,49.
0.5151392379,31.,0.5169693389,51.
0.5171042838,38.,0.5189689555,42.
0.5191029468,53.,0.5209249416,2.
0.5210660854,70.,0.5229550758,-32.
0.5231319824,66.,0.5249680438,-66.
0.5251010814,58.,0.5269669452,-60.
0.5271002212,39.,0.5289236465,-39.
0.5290659824,26.,0.5309819141,-1.
0.5311600128,19.,0.532971994,17.
0.5331040778,13.,0.5349730411,22.
0.5350810447,22.,0.536924974,32.
0.5370649257,17.,0.5389598766,30.
0.5391327300,28.,0.5409706989,46.
0.5410996833,38.,0.5429698387,34.
0.5430780807,50.,0.54492201,4.
0.5450650611,63.,0.5469550052,-11.
0.5471340576,52.,0.5489880004,-7.
0.5491191306,42.,0.5510605731,-9.
0.5511118331,40.,0.5529607692,-20.
0.5531069198,50.,0.5550159374,-49.
0.5551511207,64.,0.5570699134,-86.
0.557118074,67.,0.5590261379,-117.
0.559060947,69.,0.5609301486,-97.
0.5610619941,46.,0.5629614749,-67.
0.5630980888,37.,0.5649749198,-33.
0.5651050964,37.,0.5669330516,-3.
0.5670880237,24.,0.5689815440,10.
0.5691117206,20.,0.5709639945,25.
0.571092979,6.,0.5729719558,40.
0.5731040397,3.,0.5749260345,64.
0.5750700393,3.,0.5769559303,60.
0.5771340289,20.,0.5789691367,49.
0.579103128,30.,0.5809587398,61.
0.5810791412,22.,0.5829249778,67.
0.5830649295,29.,0.5849539199,63.
0.5851329723,40.,0.587005035,32.
0.5871330657,64.,0.5889767566,6.
0.5891038337,70.,0.5909286895,-16.
0.5910560050,60.,0.5929669299,-43.
0.5931440749,57.,0.5949660697,-44.
0.595100061,51.,0.5969659248,-34.
0.5971001544,41.,0.5989235797,0.
0.5990647235,29.,0.6009549060,5.
0.6011327663,23.,0.602994577,15.
0.6031216541,21.,0.6050309100,33.
0.6051298538,21.,0.6069840350,49.
0.6071289935,30.,0.6089750686,50.
0.6091479221,47.,0.6109761157,19.
0.6111086765,61.,0.6129726329,0.
0.6130877891,65.,0.6149317184,1.
